storeName,storeAddress,avgRating,nrReviews,priceCategory,CousineType,all_ranks,all_ratings
Carl's Madhus,"Tapperitorvet 34, Copenhagen 1799 Denmark",4.0,2,,[],[],[]
Meyers Madhus,"Noerrebrogade 52, Copenhagen 2200 Denmark",5.0,1,,"['European', 'Danish']",[],[]
La Foretta,"Istedgade, Copenhagen Denmark",3.5,6,,['Italian'],[],[]
Buongiorno,"Griffenfeldsgade 17, Copenhagen 2200 Denmark",5.0,1,,[],[],[]
Ristorante & Pizzeria Il Rustico,"Kultorvet 9, Copenhagen 1175 Denmark",4.0,8,$$ - $$$,"['Italian', 'European']",[],[]
Kafe Krone,"Toldbodgade 55, Copenhagen 1253 Denmark",3.5,7,$$ - $$$,[],[],[]
Joe & the Juice,"Vesterbrogade 2E, Copenhagen 1620 Denmark",3.5,6,,[],"['#1,556 of 1,971 Restaurants in Copenhagen']",[]
Zide by Zide,"Svaertegade 3, Copenhagen 1118 Denmark",5.0,1,,[],[],[]
Frk Suzette,"Istedgade 15, Copenhagen 1650 Denmark",5.0,1,,[],[],[]
Antico Forno a Legna,"Jydeholmen 49, Copenhagen 2720 Denmark",4.0,2,$,[],[],[]
Fisk & Faerdigt,"H.C. Oersteds Vej 37, Frederiksberg, Copenhagen 1879 Denmark",4.0,3,,['Deli'],[],[]
Meyers i Operaen,"Ekvipagemestervej 10, Copenhagen 1438 Denmark",3.5,5,$$ - $$$,[],[],[]
Minas Kaffebar,"Noerrebrogade 118, Copenhagen 2200 Denmark",3.5,5,,[],[],[]
Asap Food,"Vesterfaelled Vej 61, Copenhagen Denmark",5.0,2,,[],[],[]
Ipanema Café,"Vodroffsvej 24, Frederiksberg, Copenhagen 1900 Denmark",3.5,8,$$ - $$$,"['Brazilian', 'International', 'South American']",[],[]
Nomames,"Refshalevej 167 Reffen, Copenhagen 1432 Denmark",3.5,3,$$ - $$$,"['Mexican', 'Latin', 'Barbecue']",[],[]
Phoenix,"Kultorvet 11 Phoenix Café & Restaurant, Copenhagen 1175 Denmark",3.5,64,$$ - $$$,"['European', 'Danish', 'Vegetarian Friendly']",[],"[('Food', 3.5), ('Service', 3.5), ('Value', 3.5)]"
Palæo Frederiksberg Center,"Falkoner Alle 21, Frederiksberg, Copenhagen 2000 Denmark",3.5,5,,"['Bar', 'Contemporary', 'Pub']",[],[]
Katsura Sushi,"Sallingvej 3, Copenhagen 2720 Denmark",5.0,1,,[],[],[]
Vinbodegaen Frederiksberg,"Smallegade 39, Frederiksberg, Copenhagen 2000 Denmark",5.0,1,$$ - $$$,['Wine Bar'],[],[]
Kababji Grill,"Istedgade 19, Copenhagen 1650 Denmark",4.0,2,,['Fast Food'],[],[]
Tokyo Sushi,"Jyllingevej 77, Copenhagen 2720 Denmark",5.0,1,,"['Chinese', 'Sushi']",[],[]
Bagelsringen,"Peter Bangs Vej 20, Frederiksberg, Copenhagen 2000 Denmark",4.0,4,,"['American', 'Indian', 'Lebanese', 'Moroccan']",[],[]
Ismejeriet Tivoli,"Tivoli, Copenhagen Denmark",5.0,1,,['Cafe'],[],[]
Kaktus,"Vesterbrogade 3 Tivoli Gardens, Copenhagen 1630 Denmark",3.5,5,,[],[],[]
Pub 53,"Finsensvej 53, Frederiksberg, Copenhagen 2000 Denmark",5.0,1,,['Pub'],[],[]
Woodomi,"Gothersgade 8 Boltens Food Court, Copenhagen 1264 Denmark",4.0,2,,[],[],[]
Emmerys,"Godthaabsvej 28, Frederiksberg, Copenhagen 2000 Denmark",3.5,3,,"['European', 'Danish']",[],[]
Islands Brygge 21,"Islands Brygge 21, Copenhagen 2300 Denmark",3.5,12,$$ - $$$,[],[],[]
Cafe Lille Peter V.Sild - Per Krog,"Stefansgade 14, Copenhagen 2400 Denmark",5.0,1,,"['European', 'Danish']",[],[]
A San Sushi,"Finsensvej 16, Frederiksberg, Copenhagen 2000 Denmark",3.5,9,,[],[],[]
Motley,"Ryesgade 30B, Copenhagen 2200 Denmark",3.5,8,$$ - $$$,"['French', 'European', 'Danish']",[],[]
H Kitchen,"Fiolstraede 26, Copenhagen 1171 Denmark",3.5,14,$,[],[],[]
Boheme Kaffebar,"Holmbladsgade 22, Copenhagen 2300 Denmark",4.0,2,,['Cafe'],[],[]
Limdim,"1 Dronning Dagmars Alle, Copenhagen Denmark",5.0,1,,['Thai'],[],[]
Kosmos K,"Sankt Peders Straede 43 Kld Tv, Copenhagen 1453 Denmark",5.0,1,$$ - $$$,"['International', 'Healthy', 'Soups']",[],[]
Vietnam House,"Borups Alle 178, Copenhagen Denmark",4.0,3,,['Vietnamese'],[],[]
Mae Pen,"Vesterbrogade 143, Copenhagen 1620 Denmark",3.5,9,,['Thai'],[],[]
Den okologiske poles and,"Kobamergade, Copenhagen Denmark",5.0,2,,[],[],[]
Tacopop,"Smallegade 20A, Frederiksberg, Copenhagen 2000 Denmark",3.5,6,$$ - $$$,['Mexican'],[],[]
Joe & The Juice,"Torvegade 45, Copenhagen 1400 Denmark",3.5,4,,['Cafe'],"['#354 of 402 Cafe in Copenhagen', '#1,581 of 1,971 Restaurants in Copenhagen']",[]
Uden Ben,"Istedgade 109, Copenhagen 1650 Denmark",5.0,1,,['Seafood'],[],[]
The Pizza Bro,"Njalsgade 19D, Copenhagen 2300 Denmark",3.5,9,$$ - $$$,['Italian'],[],[]
Enigma Kantina,"Oester Alle 1, Copenhagen 2100 Denmark",4.0,3,,"['European', 'Scandinavian']",[],[]
Front bistro & bar,"Sankt Annae Plads 21, Copenhagen 1250 Denmark",3.5,4,$$ - $$$,"['European', 'Healthy', 'Scandinavian']",[],[]
Promenaden Tivoli,"Vesterbrogade 3 Tivoli Gardens, Copenhagen 1630 Denmark",3.0,287,$$ - $$$,"['Bar', 'Scandinavian']",[],"[('Food', 3.5), ('Service', 3.5), ('Value', 3.5), ('Atmosphere', 3.5)]"
Sala Thai Mad,"Borups Alle 178, Copenhagen 2400 Denmark",5.0,1,$$ - $$$,['Thai'],[],[]
Tit Is,"Vesterbrogade 178, Frederiksberg, Copenhagen 1800 Denmark",5.0,1,,['Fast Food'],[],[]
Cafiola,"Fiolstraede 26, Copenhagen 1171 Denmark",3.0,25,$$ - $$$,"['Mexican', 'Cafe', 'European']",[],"[('Food', 3.5), ('Service', 4.0), ('Value', 3.5)]"
Taco Diner,"Noerre Farimagsgade 57, Copenhagen 1364 Denmark",3.5,47,$,"['Mexican', 'Vegetarian Friendly']",[],"[('Food', 3.0), ('Service', 3.5), ('Value', 3.0), ('Atmosphere', 4.0)]"
Street Polenta,"Refshalevej 169, Copenhagen 1432 Denmark",5.0,1,,['Italian'],[],[]
The Rusty Jiggar,"Ingerslevsgade 200, Copenhagen 1705 Denmark",5.0,1,,"['Bar', 'Contemporary', 'Pub']",[],[]
Tacopop,"Odensegade 20 Kld, Copenhagen 2100 Denmark",3.5,23,$,"['Mexican', 'Latin', 'Spanish']",[],"[('Food', 3.0), ('Service', 3.0), ('Value', 2.5)]"
Genki sushi,"Smallegade 20, Frederiksberg, Copenhagen 2000 Denmark",3.5,36,$$ - $$$,"['Japanese', 'Sushi', 'Asian']",[],"[('Food', 4.0), ('Service', 4.0), ('Value', 3.5), ('Atmosphere', 3.5)]"
Café Le Rouge,"Bragesgade 5, Copenhagen 2200 Denmark",3.5,7,,['International'],[],[]
Hugo's Pizzaria,"Oeresundsvej 106, Copenhagen 2300 Denmark",4.0,2,$$ - $$$,['Pizza'],[],[]
Lagkagehuset,"Tapperitorvet 26, Copenhagen 1799 Denmark",5.0,1,,[],[],[]
Gastronomia Italiana,"Nordre Frihavnsgade 54, Copenhagen 2100 Denmark",5.0,1,,[],[],[]
Kantina,"Oster Alle 1, Copenhagen 2100 Denmark",4.0,2,,[],[],[]
The Bagel Co,"Niels Hemmingsens Gade 1, Copenhagen 1153 Denmark",5.0,1,,"['Cafe', 'Deli']",[],[]
Restaurant Lola,"Christianshavns Voldgade 54, Copenhagen 1424 Denmark",3.0,19,$$ - $$$,"['Contemporary', 'South American']",[],"[('Food', 3.0), ('Service', 3.0), ('Value', 2.5)]"
Passion Pizza,"Rantzausgade 47, Copenhagen 2200 Denmark",4.0,2,$$ - $$$,"['Italian', 'Turkish']",[],[]
Cafe Taenk,"Rantzausgade 58B, Copenhagen 2100 Denmark",3.5,8,,[],[],[]
Coffee Licious,"Falkoner Alle 33, Copenhagen 2000 Denmark",5.0,1,,['Cafe'],[],[]
Lin's Sushi,"Oesterfaelled Torv 2, Copenhagen 2100 Denmark",4.0,2,,[],[],[]
Babbo-Ria,"Godthaabsvej 10, Frederiksberg, Copenhagen 2000 Denmark",3.5,3,$$ - $$$,[],[],[]
Piccola Cosi,"Amagerbrogade 61, Strada , 3, Copenhagen 2300 Denmark",5.0,1,$,['Italian'],[],[]
Sweet Valentine,"Linnesgade 17 Stade B8, Copenhagen 1361 Denmark",3.5,5,,['Cafe'],[],[]
Café Ocean,"Vesterbrogade 165, Frederiksberg, Copenhagen 1800 Denmark",5.0,1,$$ - $$$,"['European', 'Danish']",[],[]
Nye Tider,"Soelvgade 91, Kl, Th, Copenhagen 1307 Denmark",5.0,1,,"['European', 'Danish']",[],[]
Neru,"Oesterbrogade 111, Copenhagen 2100 Denmark",3.5,4,,['Cafe'],[],[]
CCR Sunde Køkken,"Oesterbrogade 163, Copenhagen 2100 Denmark",5.0,1,$,"['Indian', 'International', 'European']","['#50 of 54 Indian in Copenhagen', '#1,608 of 1,971 Restaurants in Copenhagen']",[]
Vi Viet,"Amagerbrogade 248, Copenhagen 2300 Denmark",5.0,32,$$ - $$$,"['Vietnamese', 'Diner', 'Soups']",[],"[('Food', 4.5), ('Service', 4.5), ('Value', 4.5)]"
Ehlers Bageri,"Taasingegade 26, Copenhagen 2100 Denmark",4.0,2,,[],[],[]
Fovl,"Sneppevej 2 2400 Nørdvest, Copenhagen Denmark",3.5,3,,['Cafe'],[],[]
The Bar,"Nyhavn 11, Copenhagen 1051 Denmark",4.5,2,,[],[],[]
Restaurant Meadow Garden,"Sydhavns Plads 15, Copenhagen 2450 Denmark",3.5,11,$$ - $$$,[],[],"[('Food', 2.5), ('Service', 4.0), ('Value', 2.5)]"
Monastic,"Hauser Plads 32, Copenhagen Denmark",5.0,1,,[],[],[]
Tampopo,"Rosengaarden 16, Copenhagen 1361 Denmark",5.0,1,,['Japanese'],[],[]
The Bagel Bite,"Vesterbrogade 36, Copenhagen 1620 Denmark",5.0,1,,"['Fast Food', 'International', 'Deli', 'Contemporary']",[],[]
Kaffehytten,"Oesterbrogade 246 Kaffehytten, Copenhagen 2100 Denmark",5.0,1,,[],[],[]
Sultan Palace,"Valkendorfsgrade 34, Copenhagen Denmark",3.0,76,$,['Turkish'],[],"[('Food', 3.0), ('Service', 3.0), ('Value', 3.5), ('Atmosphere', 3.0)]"
VinBaren i Stefansgade,"Stefansgade 9, Copenhagen 2200 Denmark",4.0,4,$$ - $$$,[],[],[]
Gasoline Grill,"Bryggernes Plads 1, Copenhagen 1799 Denmark",3.5,6,,['American'],[],[]
Shamyat Halawiyat,"Amager Boulevard 127, Copenhagen 2300 Denmark",4.0,4,,"['Cafe', 'Mediterranean', 'Arabic']",[],[]
Bubbles,"Ny Carlsberg Vej 100, Copenhagen 1799 Denmark",5.0,3,,"['Bar', 'Pub']",[],[]
Byens Bogcafé,"Istedgade 102, Copenhagen 1650 Denmark",5.0,1,,[],[],[]
McDonald's,"Tinghoejparken 47, Copenhagen 2860 Denmark",3.0,32,$,"['American', 'Fast Food']","['#88 of 112 American in Copenhagen', '#1,624 of 1,971 Restaurants in Copenhagen']","[('Food', 3.0), ('Service', 3.0), ('Value', 3.0), ('Atmosphere', 2.0)]"
OISHI Sushi,"Vesterbrogade 107b, Copenhagen 1620 Denmark",5.0,1,,['Japanese'],[],[]
Smørrebrødsforretningen,"Store Kongensgade 92, Copenhagen 1264 Denmark",5.0,1,,[],[],[]
Louis Burger,"Istedgade 42B, Copenhagen 1650 Denmark",3.5,4,$$$$,"['American', 'Fast Food', 'Barbecue']",[],[]
D'jungle Juice Amager,"Amagerbrogade 97, Copenhagen 2300 Denmark",3.5,3,,[],[],[]
Fabio Homemade Pasta,"Oestergade 52, Copenhagen 1100 Denmark",3.5,6,$$ - $$$,[],[],[]
Louise,"Tivoli Gardens, Copenhagen Denmark",3.5,6,,"['European', 'Danish']",[],"[('Food', 3.5), ('Service', 3.5), ('Value', 2.5), ('Atmosphere', 4.0)]"
Pizza Gallery Ravnsborggade,"Ravnsborggade 14B, Copenhagen 2200 Denmark",5.0,1,,[],[],[]
Cafe Midtown Bar,"Noerre Voldgade 46, Copenhagen 1358 Denmark",3.5,4,,"['Cafe', 'European', 'Russian', 'Eastern European']",[],[]
Egils Deli,"Islands Brygge 23 St,th, Copenhagen 2300 Denmark",3.5,10,$$ - $$$,"['Italian', 'French', 'Pizza']","['#204 of 238 Italian in Copenhagen', '#1,633 of 1,971 Restaurants in Copenhagen']",[]
Form Bar,"Sankt Annae Plads 20, Copenhagen 1250 Denmark",3.5,4,$$ - $$$,['International'],[],[]
Praetoria bar,"Henrik Steffens Vej 2, Frederiksberg, Copenhagen 1866 Denmark",5.0,1,,[],[],[]
Restaurant India Vanlose,"Jyllingevej 2, Copenhagen 2720 Denmark",3.5,8,$$ - $$$,['Indian'],[],[]
CPH Burger & Steakhouse,"Kultorvet 13-15, Copenhagen 1441 Denmark",3.5,4,,[],[],[]
Send flere krydderier,"Noerre Alle 7 Noerrebro, Copenhagen 2200 Denmark",3.5,6,,"['Lebanese', 'Moroccan', 'Mediterranean', 'Middle Eastern']",[],[]
Cafe T,"Gunloegsgade 39, Copenhagen 2300 Denmark",4.0,2,,[],[],[]
The Bagel Co,"Reventlowsgade 7 Copenhagen Central Station, Copenhagen 1651 Denmark",3.5,4,,[],[],[]
Pizzeria Cavallino,"Blegdamsvej 86, Copenhagen 2100 Denmark",3.5,3,,['Pizza'],[],[]
Marrakesh Kitchen,"Valkendorfsgade 36 1151 København K, Denmark, Copenhagen Denmark",4.5,2,,"['Moroccan', 'Mediterranean']",[],[]
K15,"Kultorvet 15, Copenhagen Denmark",3.5,6,,['European'],[],[]
Cafe Dubai,"Fiolstraede 21, Copenhagen 1171 Denmark",3.5,3,$$ - $$$,"['Mexican', 'Cafe', 'European']",[],[]
Zócalo,"Falkoner Alle 80, Frederiksberg, Copenhagen 2000 Denmark",4.0,1,,[],[],[]
Eclipse,"Soren Norbys Alle 2, Copenhagen Denmark",3.5,11,,[],[],[]
Fiordilatte Pizzeria,"Strandboulevarden 166, Copenhagen 2100 Denmark",4.0,1,$$ - $$$,"['Italian', 'Pizza']",[],[]
Blaaregn,"Jesper Brochmands Gade 9, Copenhagen 2200 Denmark",3.5,3,,[],[],[]
Thai take away / Ning Mao (Ning's Thai),"Randersgade 61, Copenhagen 2100 Denmark",4.0,1,,['Thai'],[],[]
Mon Amour Pâtissier - Glacier,"Skindergade 19, Copenhagen 1159 Denmark",3.5,3,,[],[],[]
Biblioteket Danasvej,"Danasvej 30B, Frederiksberg, Copenhagen 1910 Denmark",5.0,1,,[],[],[]
Gensyn Bar,"Rolighedsvej 20, Frederiksberg, Copenhagen 1958 Denmark",4.0,1,,[],[],[]
Crisp,"Faelledvej 9, Copenhagen 2200 Denmark",4.0,1,,"['International', 'Asian', 'Korean', 'Street Food']",[],[]
Figaro,"Willemoesgade 31, Copenhagen 2100 Denmark",3.5,5,,['French'],[],[]
Axolotl,"Badstuestraede 7 I kaelderen, Copenhagen 1209 Denmark",5.0,1,,"['Bar', 'Pub']",[],[]
Nr. 15 Køkken & Bar Aps,"Holmbladsgade 15, Copenhagen 2300 Denmark",4.0,1,$$ - $$$,"['French', 'European', 'Danish']",[],[]
Tekno Eatery,"Rentemestervej 62, Copenhagen 2400 Denmark",4.0,1,$,"['European', 'Danish']",[],[]
Haralds Pizza & Pasta,"Haraldsgade 64, Copenhagen 2100 Denmark",4.0,1,$,"['Italian', 'Pizza']",[],[]
Palæo,"Oestergade 52, Copenhagen 1100 Denmark",4.0,1,,"['Mediterranean', 'European', 'Danish']",[],[]
El Guanche,"Smallegade 37b, Frederiksberg, Copenhagen 2000 Denmark",3.5,4,$$ - $$$,['Spanish'],[],[]
Bar La Una,"Oehlenschlaegersgade 53a, Copenhagen 1663 Denmark",4.0,1,,['Italian'],[],[]
Ramen to Biiru,"Bentzonsvej 23, Frederiksberg, Copenhagen 2000 Denmark",4.0,1,,['Japanese'],[],[]
Wabiwabi Sushi & More,"Islands Brygge 81, Copenhagen 2300 Denmark",3.0,52,$$ - $$$,"['Japanese', 'Sushi', 'Asian']",[],"[('Food', 3.0), ('Service', 2.0), ('Value', 2.5)]"
Yokoso Sushi,"Amagerbrogade 28, Copenhagen 2300 Denmark",3.5,2,$$$$,"['Japanese', 'Seafood', 'Asian']",[],[]
Cafe Hyggestuen,"Bentzonsvej 23, Frederiksberg, Copenhagen 2000 Denmark",4.0,3,$$ - $$$,['Pub'],[],[]
Cheesecake Huset,"Amager Boulevard 127, Copenhagen Denmark",3.5,8,$$ - $$$,[],[],[]
Is Á Bella,"Frederiksborggade 21 Torvehallerne, Copenhagen 1360 Denmark",4.0,1,,['Italian'],[],[]
Frankies Pizza Strøget,"Nygade 6, Copenhagen 1164 Denmark",3.5,3,$$ - $$$,['Pizza'],[],[]
Nyhavn Bakery & Cafe,"Holbergsgade 28b, Copenhagen 1057 Denmark",4.0,1,$,"['European', 'Danish']",[],[]
Jagger,"Nordre Frihavnsgade 58, Copenhagen 2100 Denmark",4.0,1,,[],[],[]
Hidmona,"Griffenfeldsgade 7, Copenhagen 2200 Denmark",4.0,1,,[],[],[]
Valby Grill,"Toftegaards Alle 19, Copenhagen 2500 Denmark",4.0,1,,[],[],[]
TS Smørrebrød,"Islands Brygge 7, Copenhagen 2300 Denmark",3.5,3,,[],[],[]
Green & Yellow Restaurant,"Gammeltorv 8, Copenhagen 1457 Denmark",3.5,4,,[],[],[]
Shahi Pakwaan,"Vesterfaelledvej 8, Copenhagen 1750 Denmark",4.0,1,,[],[],[]
Gasoline Grill,"Vaernedamsvej 2, Copenhagen 1619 Denmark",4.0,1,$$ - $$$,[],[],[]
Bedste kaffebar i kbh,"31 Istedgade, Copenhagen Denmark",5.0,1,,[],[],[]
Café Baggården,"Noerre Alle 7, Copenhagen 2200 Denmark",5.0,1,,"['International', 'European', 'Danish', 'Vegetarian Friendly']",[],[]
Roma Pizzeria & Grill,"Liljevangsvej 6, Copenhagen 2760 Denmark",3.5,3,,[],[],[]
Suyiyaki Japansk Restaurant,"Japansk Restaurang Sukiyaki Vesterbrogade 13, 1. 1620 Kopenhamn V, Copenhagen Denmark",3.5,3,,['Japanese'],[],[]
Luftkastellet,"Kvaesthusbroen 1, Copenhagen 1252 Denmark",4.0,1,$$ - $$$,['Pizza'],[],[]
Gelato Italiano,"Nygade 4, Copenhagen 1164 Denmark",3.0,9,,['Italian'],[],[]
Rouge Oysters,"Gammel Kongevej 43, Copenhagen 1610 Denmark",4.0,1,,[],[],[]
La Mensa Di Benito,"Dybboelsgade 57, Copenhagen 1721 Denmark",3.5,4,,[],[],[]
Krôyers,"Strandgade 87A, Copenhagen Denmark",3.0,72,$$ - $$$,"['Cafe', 'Vegetarian Friendly', 'Vegan Options']",[],"[('Food', 3.5), ('Service', 3.5), ('Value', 3.5)]"
Bryggen11,"Islands Brygge 11, Copenhagen 2300 Denmark",4.0,1,,[],[],[]
Il Borgo,"Istedgade 23, Copenhagen 1650 Denmark",4.0,1,,[],[],[]
Isklubben CPH,"Store Kongensgade 3, Copenhagen 1264 Denmark",4.0,1,,[],"['#1,681 of 1,971 Restaurants in Copenhagen']",[]
Cafe Arcade,"Blegdamsvej 9 Rigshospitalet, Copenhagen 2100 Denmark",4.0,1,,[],[],[]
Radhusstræde BAGEL & SALATBAR,"Radhusstraede 17 Basement to the left, Copenhagen 1466 Denmark",4.0,1,$,['Healthy'],[],[]
Cafe Frihedsmuseet,"Esplanaden 13, Copenhagen 1263 Denmark",3.5,4,,"['European', 'Danish']",[],[]
Cafe Palads,"Axeltorv 9, Copenhagen 1609 Denmark",4.0,1,,[],[],[]
MAUI Reykjaviksgade ApS,"Reykjaviksgade 3, Kl., Copenhagen 2300 Denmark",3.5,3,$$ - $$$,['Hawaiian'],[],[]
McDonald's,"Fisketorvet Shopping Center, Copenhagen 1560 Denmark",3.5,3,,"['Fast Food', 'Grill', 'Diner']",[],[]
Cafe Ludwigsen,"Vesterbrogade 115, Copenhagen 1751 Denmark",3.0,9,$$ - $$$,"['Bar', 'Pub']",[],[]
Stuen 11,"Ostre Farimagsgade 11, Copenhagen Denmark",4.0,1,,"['Bar', 'Pub']",[],[]
Adria Pizza Kastrupvej,"Kastrupvej 4, Copenhagen 2300 Denmark",3.5,2,$$ - $$$,['Pizza'],[],[]
Ych,"Enghave Plads 9, Copenhagen 1670 Denmark",3.5,3,,[],[],[]
Riccos Kaffebar,"Tasinge Plads, Copenhagen 2100 Denmark",4.0,1,,"['European', 'Danish']",[],[]
AC Lounge,"Center Boulevard 5 AC Hotel Bella Sky, Copenhagen 2300 Denmark",3.0,12,$$ - $$$,"['European', 'Danish']",[],[]
Bavnehøj Smørrebrød & Sandwich,"Bavnehoej Alle 5, Copenhagen 2450 Denmark",3.5,2,$,"['European', 'Danish']",[],[]
Mozarts grill,"Mozartsvej 7/9, Copenhagen 2450 Denmark",4.0,1,,"['Chinese', 'Barbecue', 'European', 'Thai']",[],[]
Rosengarden Bodega,"Rosengaarden 11, Copenhagen 1174 Denmark",3.5,8,,[],[],[]
Ost deli,"Enghave Plads 7, Copenhagen Denmark",5.0,1,,['Deli'],[],[]
Orientalsk Steak House,"Borups Alle 25, Copenhagen Denmark",4.0,1,,"['Pizza', 'European', 'Middle Eastern', 'Scandinavian']",[],[]
Kebab Street kitchen,"Bernstorffsgade, Copenhagen Denmark",4.0,1,$,"['Fast Food', 'International', 'Turkish']",[],[]
Cous Cous,"Frederiksborggade 5c, Copenhagen Denmark",5.0,1,,[],[],[]
Dhaba Indian Street Food,"Frederiksborgvej 169, Copenhagen 2400 Denmark",3.0,30,$$ - $$$,[],[],"[('Food', 2.5), ('Service', 3.0), ('Value', 2.5)]"
Cafe Grusgraven,"Enghavevej 11, Copenhagen 1674 Denmark",3.5,5,,[],[],[]
Mediterranean Kitchen,"Arne Jacobsens Alle 12, Copenhagen 2300 Denmark",3.0,29,$$ - $$$,"['Mediterranean', 'Vegetarian Friendly']",[],"[('Food', 3.0), ('Service', 3.5), ('Value', 3.0)]"
Cafe Betty Aps,"Hammelstrupvej 33, Copenhagen 2450 Denmark",4.0,1,,[],[],[]
Teglholmens-Cafe,"Teglholmsgade 36, Copenhagen 2450 Denmark",4.0,1,,['Fast Food'],[],[]
Evoo,"Radhusstraede 13, Copenhagen 1466 Denmark",3.5,3,$$ - $$$,"['Italian', 'Grill', 'Fusion']",[],[]
Hanoi,"Classensgade 5, Copenhagen Denmark",3.0,78,$$ - $$$,"['Asian', 'Vietnamese']",[],"[('Food', 3.5), ('Service', 3.0), ('Value', 3.0), ('Atmosphere', 3.0)]"
The Harbour Grill,"Nordre Toldbod 18/24, Copenhagen 1259 Denmark",3.0,23,$$ - $$$,['British'],[],"[('Food', 3.5), ('Service', 3.5), ('Value', 3.0)]"
Cafe La Grotte,"Mikkel Bryggers Gade 5a, Copenhagen 1460 Denmark",4.0,1,,[],[],[]
Yokoso Sushi,"Classensgade 7, Copenhagen 2100 Denmark",3.5,2,$$$$,"['Japanese', 'Seafood', 'Sushi']",[],[]
Cafe Delfinen,"Helgesvej 29, Frederiksberg, Copenhagen 2000 Denmark",4.0,1,$,"['American', 'European', 'Healthy']",[],[]
Lagkagehuset,"Lufthavnsboulevarden 6, Copenhagen 2770 Denmark",3.5,3,,"['European', 'Danish']",[],[]
Restaurant Balkonen,"Vesterbrogade 3 inside Tivoli, Copenhagen 1500 Denmark",3.0,2,,"['European', 'Danish']",[],[]
Sushi2500,"Smallegade 20A, Copenhagen 2000 Denmark",3.5,3,,[],[],[]
"Burger Shack, Carlsberg Byen","Tapperitorvet 1, Copenhagen 1799 Denmark",3.0,19,$,"['Quick Bites', 'American']",[],"[('Food', 2.5), ('Service', 2.5), ('Value', 2.5)]"
Vietnam Quan,"Borups Alle 178, Copenhagen 2400 Denmark",3.5,4,$,"['Seafood', 'Asian', 'Vietnamese']",[],[]
Bellmans cafe,"Bellmansgade 12, Copenhagen 2100 Denmark",4.0,1,,[],[],[]
Styrmanden Cafe-Restaurant,"Havnegade 53 Kaelderen, Copenhagen 1058 Denmark",4.0,1,,[],[],[]
Lagkagehuset,"Amagerbrogade 148, Copenhagen 2300 Denmark",3.5,2,,['Cafe'],[],[]
PUBLIC - The Italian Social Dining Bar,"Halmtorvet 36, Copenhagen 1700 Denmark",4.5,88,$$ - $$$,"['Italian', 'Tuscan', 'Sicilian']",[],"[('Food', 5.0), ('Service', 5.0), ('Value', 4.5)]"
Rendez,"Skindergade 19, Copenhagen Denmark",3.0,10,,[],[],"[('Food', 3.0), ('Service', 4.0), ('Value', 3.0), ('Atmosphere', 2.5)]"
Legi Legi,"Hojbro Plads 15, Copenhagen Denmark",5.0,1,,"['European', 'Danish']",[],[]
Julios Pizze Cucina,"Sundholmsvej 41, Copenhagen 2300 Denmark",4.0,1,,['Pizza'],[],[]
Th. Sørensen,"Amagerbrogade 41, Copenhagen 2300 Denmark",3.0,21,$,['Danish'],[],"[('Food', 3.5), ('Service', 3.0), ('Value', 2.5)]"
Il Paradiso,"Tomsgaardsvej 81, Copenhagen 2400 Denmark",5.0,1,$$ - $$$,['Pizza'],[],[]
Det go'e Smoerrebroed,"Holbergsgade 12, Copenhagen Denmark",4.0,1,,"['European', 'Danish']",[],[]
The Green Corner,"Kalevebod Brygge 59 Fisketorvet, Plan 2, Copenhagen 1561 Denmark",4.0,1,,[],[],[]
Amarone,"Gothersgade 40, Copenhagen Denmark",3.0,93,$$ - $$$,"['Italian', 'Pizza', 'Mediterranean']",[],"[('Food', 4.0), ('Service', 3.5), ('Value', 3.5), ('Atmosphere', 4.0)]"
Osteriet & Ko,"Flaesketorvet 55, Copenhagen 1711 Denmark",3.5,2,,"['Deli', 'Wine Bar']",[],[]
Cafe La Bella Ristorante,"Toftegaards Alle 5 B, Copenhagen 2500 Denmark",3.5,7,,['Italian'],[],[]
Flisen Bar & Burgers,"Ingerslevsgade 200, Copenhagen 1705 Denmark",3.5,3,,[],[],[]
Rosenborggade,"1130 kopenhagen K, Copenhagen Denmark",4.0,1,,[],[],[]
Kaffebaren Soender Boulevard 68,"Soender Boulevard 68, Copenhagen 1720 Denmark",4.0,1,,"['Cafe', 'European', 'Danish']",[],[]
Sushi Time,"Tagensvej 227, Copenhagen 2400 Denmark",4.0,1,,"['Japanese', 'Sushi']",[],[]
Olsen,Copenhagen Denmark,4.0,1,,[],[],[]
Axelborg Chinese Restaurant,"Axeltorv 3 A 1609, Copenhagen A 1609 Denmark",3.0,45,$$ - $$$,"['Chinese', 'Asian']",[],"[('Food', 3.0), ('Service', 3.0), ('Value', 3.0), ('Atmosphere', 2.5)]"
Malta Cafeteria Og Selskabslokaler,"Hoejdevej 59, Copenhagen 2300 Denmark",4.0,1,,"['European', 'Danish']",[],[]
Kyoto Restaurant,"Amager Boulevard 70, Copenhagen Denmark",3.0,94,$$$$,"['Japanese', 'Sushi', 'Asian']",[],"[('Food', 3.0), ('Service', 3.0), ('Value', 2.5), ('Atmosphere', 2.0)]"
Cocks & Cows Amager,"Amagerbrogade 37, Copenhagen 2300 Denmark",3.0,33,$$ - $$$,"['American', 'Bar', 'Barbecue']",[],"[('Food', 3.5), ('Service', 3.5), ('Value', 3.5)]"
